iter	Passed	Remaining
1292	67466	36889
1293	67515	36836
1294	67569	36784
1295	67619	36731
1296	67668	36677
1297	67715	36622
1298	67761	36567
1299	67811	36513
1300	67857	36458
1301	67918	36410
1302	67999	36374
1303	68072	36333
1304	68133	36285
1305	68185	36233
1306	68239	36182
1307	68294	36131
1308	68357	36085
1309	68411	36033
1310	68472	35985
1311	68522	35932
1312	68588	35887
1313	68643	35836
1314	68709	35791
1315	68760	35738
1316	68808	35684
1317	68859	35631
1318	68915	35581
1319	68974	35532
1320	69031	35482
1321	69093	35435
1322	69148	35384
1323	69195	35329
1324	69242	35274
1325	69299	35224
1326	69353	35173
1327	69407	35121
1328	69459	35069
1329	69515	35019
1330	69569	34967
1331	69630	34919
1332	69695	34873
1333	69747	34821
1334	69813	34775
1335	69865	34723
1336	69922	34673
1337	69978	34623
1338	70040	34575
1339	70096	34525
1340	70149	34473
1341	70213	34426
1342	70275	34378
1343	70337	34331
1344	70385	34277
1345	70450	34230
1346	70503	34178
1347	70562	34129
1348	70611	34075
1349	70661	34022
1350	70719	33972
1351	70768	33918
1352	70825	33868
1353	70884	33819
1354	70935	33766
1355	70995	33717
1356	71045	33664
1357	71094	33610
1358	71157	33562
1359	71211	33511
1360	71270	33462
1361	71319	33407
1362	71370	33355
1363	71421	33301
1364	71473	33249
1365	71521	33195
1366	71575	33143
1367	71622	33088
1368	71684	33040
1369	71745	32992
1370	71792	32937
1371	71849	32887
1372	71915	32841
1373	71964	32787
1374	72014	32733
1375	72070	32683
1376	72124	32631
1377	72181	32581
1378	72231	32527
1379	72296	32481
1380	72343	32426
1381	72402	32376
1382	72457	32325
1383	72513	32274
1384	72570	32224
1385	72625	32173
1386	72687	32124
1387	72737	32071
1388	72788	32018
1389	72837	31964
1390	72888	31911
1391	72956	31866
1392	73006	31812
1393	73103	31779
1394	73167	31732
1395	73215	31677
1396	73265	31624
1397	73319	31572
1398	73371	31519
1399	73421	31466
1400	73471	31412
1401	73519	31358
1402	73575	31307
1403	73623	31253
1404	73671	31198
1405	73729	31148
1406	73790	31099
1407	73837	31045
1408	73889	30992
1409	73936	30938
1410	73986	30884
1411	74051	30837
1412	74107	30786
1413	74160	30734
1414	74211	30681
1415	74269	30631
1416	74333	30583
1417	74386	30530
1418	74439	30478
1419	74499	30429
1420	74562	30381
1421	74611	30327
1422	74667	30276
1423	74712	30220
1424	74766	30168
1425	74825	30119
1426	74877	30066
1427	74935	30016
1428	74994	29966
1429	75042	29912
1430	75104	29863
1431	75157	29811
1432	75211	29759
1433	75259	29705
1434	75312	29652
1435	75374	29603
1436	75448	29559
1437	75513	29512
1438	75564	29459
1439	75616	29406
1440	75688	29361
1441	75736	29307
1442	75794	29256
1443	75849	29205
1444	75897	29150
1445	75944	29096
1446	76004	29046
1447	76064	28997
1448	76127	28948
1449	76173	28893
1450	76220	28838
1451	76268	28784
1452	76328	28734
1453	76381	28682
1454	76428	28627
1455	76478	28574
1456	76540	28525
1457	76590	28471
1458	76638	28417
1459	76693	28366
1460	76745	28313
1461	76797	28260
1462	76852	28208
1463	76916	28160
1464	76968	28107
1465	77026	28057
1466	77076	28004
1467	77133	27953
1468	77185	27900
1469	77240	27848
1470	77295	27797
1471	77353	27746
1472	77401	27692
1473	77460	27641
1474	77513	27589
1475	77561	27535
1476	77615	27483
1477	77677	27434
1478	77724	27379
1479	77770	27324
1480	77835	27276
1481	77886	27223
1482	77937	27170
1483	77994	27119
1484	78040	27064
1485	78098	27014
1486	78155	26962
1487	78212	26911
1488	78271	26861
1489	78328	26810
1490	78390	26761
1491	78453	26712
1492	78513	26662
1493	78575	26612
1494	78625	26559
1495	78682	26507
1496	78734	26455
1497	78794	26405
1498	78849	26353
1499	78907	26302
1500	78954	26248
1501	79002	26193
1502	79052	26140
1503	79105	26088
1504	79154	26034
1505	79200	25979
1506	79259	25928
1507	79308	25875
1508	79358	25821
1509	79406	25767
1510	79453	25713
1511	79515	25663
1512	79568	25611
1513	79633	25562
1514	79690	25511
1515	79737	25457
1516	79788	25403
1517	79840	25351
1518	79893	25298
1519	79955	25249
1520	80012	25197
1521	80071	25147
1522	80123	25094
1523	80177	25042
1524	80224	24987
1525	80292	24940
1526	80341	24886
1527	80392	24833
1528	80444	24780
1529	80499	24728
1530	80556	24677
1531	80616	24627
1532	80675	24576
1533	80730	24524
1534	80784	24472
1535	80834	24418
1536	80881	24364
1537	80932	24311
1538	80982	24257
1539	81030	24203
1540	81081	24150
1541	81131	24097
1542	81181	24044
1543	81251	23996
1544	81318	23948
1545	81384	23899
1546	81449	23850
1547	81513	23801
1548	81564	23747
1549	81629	23698
1550	81694	23649
1551	81744	23596
1552	81794	23543
1553	81842	23489
1554	81896	23436
1555	81962	23387
1556	82017	23335
1557	82077	23285
1558	82148	23237
1559	82202	23185
1560	82251	23131
1561	82308	23080
1562	82358	23026
1563	82407	22972
1564	82455	22918
1565	82503	22864
1566	82559	22813
1567	82624	22763
1568	82690	22714
1569	82748	22663
1570	82806	22612
1571	82866	22561
1572	82926	22510
1573	82986	22460
1574	83033	22405
1575	83079	22351
1576	83138	22300
1577	83193	22248
1578	83248	22195
1579	83304	22144
1580	83358	22091
1581	83405	22037
1582	83469	21987
1583	83543	21940
1584	83600	21889
1585	83648	21835
1586	83703	21782
1587	83757	21730
1588	83819	21680
1589	83876	21628
1590	83936	21577
1591	83985	21523
1592	84040	21471
1593	84099	21420
1594	84154	21368
1595	84208	21315
1596	84270	21265
1597	84333	21215
1598	84382	21161
1599	84431	21107
1600	84492	21057
1601	84554	21006
1602	84605	20953
1603	84668	20903
1604	84729	20852
1605	84776	20798
1606	84837	20747
1607	84898	20696
1608	84950	20643
1609	85016	20593
1610	85071	20541
1611	85125	20489
1612	85175	20435
1613	85223	20381
1614	85280	20330
1615	85329	20276
1616	85380	20223
1617	85429	20169
